agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,diseaseEffectiveReproductionRate,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,seed,sickAgents,sickAgentsPercentage,timestep,tradeVolume
0,2,6,0,100.0,15.65,4,281,15.65,-44.7261713449223,4639.29,2,0,169,0,0,0,5000,7796,0.185,1,39,119.26,16.67,17.0,-0.03,8.7,0.09,1.25,1.0,2.04,3.38,-1.0,0.11,1.06,3.58,67.24,0.08,22.27,69,3,8412927684506142269,0,0.0,18,8
0,2,2,0,100.0,15.48,0,275,15.48,42.477637264403775,4570.68,1,0,164,0,0,0,5000,7818,0.191,1,39,123.26,17.38,18.0,-0.03,2.94,0.1,1.17,1.0,2.02,3.35,-1.0,0.14,1.0,3.6,67.22,-0.05,21.86,68,3,8412927684506142269,0,0.0,19,6
0,1,2,0,100.0,15.85,1,268,15.85,13.28687365187102,4568.9,1,0,160,0,0,0,5000,7826,0.187,1,38,128.85,18.07,19.0,-0.01,2.99,0.12,1.29,1.0,2.0,3.31,-1.0,0.17,1.38,3.67,68.19,0.01,21.27,67,3,8412927684506142269,0,0.0,20,6
0,2,3,0,100.0,16.93,1,259,17.04,-80.12831175036226,4617.9,0,0,156,0,0,0,5000,7852,0.203,1,38,143.32,18.98,20.0,-0.03,4.69,0.09,1.33,1.0,2.02,3.36,-1.0,0.23,1.14,3.64,72.15,0.04,19,64,3,8412927684506142269,0,0.0,21,10
0,1,3,0,100.0,17.85,2,246,18.08,75.09246179101578,4585.13,0,0,152,0,0,0,5000,7876,0.194,1,36,145.32,20.16,15.33,-0.02,4.92,0.08,1.32,1.0,2.02,3.31,-1.0,0.3,1.16,3.7,75.17,-0.05,24.05,61,3,8412927684506142269,0,0.0,22,8
0,1,1,0,100.0,18.27,0,241,18.63,73.29183987447333,4636.85,0,0,148,0,0,0,5000,7891,0.194,1,36,147.32,21.13,22.0,-0.02,1.67,0.08,1.36,1.0,2.01,3.3,-1.0,0.33,1.1,3.75,77.28,-0.03,21.99,60,3,8412927684506142269,0,0.0,23,10
0,0,1,0,100.0,18.77,1,237,19.32,84.68690436830823,4667.88,0,0,144,0,0,0,5000,7892,0.197,1,35,150.32,22.1,23.0,0.0,1.69,0.08,1.45,1.0,2.01,3.34,-1.0,0.37,1.39,3.71,79.12,-0.0,19.99,59,3,8412927684506142269,0,0.0,24,5
0,2,2,0,100.0,19.13,0,231,19.88,14.845159467393117,4659.31,0,0,140,0,0,0,5000,7921,0.209,1,33,153.32,23.04,24.0,-0.04,3.51,0.05,1.44,1.0,2.03,3.33,-1.0,0.38,1.15,3.7,81.74,0.04,16.94,57,3,8412927684506142269,0,0.0,25,5
0,1,2,0,100.0,20.02,1,220,20.97,77.27209649203809,4677.36,0,0,136,0,0,0,5000,7929,0.201,1,33,155.32,23.96,25.0,-0.02,3.64,0.05,1.53,1.0,2.0,3.27,-1.0,0.45,1.19,3.75,85.04,0.05,26.98,55,3,8412927684506142269,0,0.0,26,7
0,2,2,0,100.0,19.61,0,218,20.8,24.127622786941572,4641.92,2,0,132,0,0,0,5000,7929,0.213,1,33,157.32,24.02,26.0,-0.04,3.64,0.07,1.37,1.0,1.98,3.2,-1.0,0.43,1.01,3.82,84.4,-0.1,25.98,55,3,8412927684506142269,0,0.0,27,4
0,2,2,0,100.0,19.53,0,210,20.99,73.19799500472564,4518.31,0,0,129,0,0,0,5000,7955,0.22,1,36,160.32,24.91,27.0,-0.04,3.77,0.08,1.34,1.0,1.98,3.19,-1.0,0.43,1.31,3.77,85.25,-0.13,23.98,53,3,8412927684506142269,0,0.0,28,5
0,0,1,0,100.0,20.1,1,207,21.86,89.37742602434365,4526.61,0,0,126,0,0,0,5000,7958,0.224,1,37,163.85,25.85,28.0,0.0,1.92,0.08,1.43,1.0,1.99,3.19,-1.0,0.47,1.23,3.77,87.05,-0.12,21.98,52,3,8412927684506142269,0,0.0,29,8
0,0,0,0,100.0,20.32,0,207,22.35,80.62963705221365,4607.61,0,0,123,0,0,0,5000,7975,0.227,1,38,167.85,26.85,0,0.0,0.0,0.08,1.45,1.0,1.99,3.19,-1.0,0.49,1.01,3.77,88.61,-0.12,19.98,52,3,8412927684506142269,0,0.0,30,6
