agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,diseaseEffectiveReproductionRate,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,seed,sickAgents,sickAgentsPercentage,timestep,tradeVolume
0,0,0,0,100.0,7.94,0,1246,7.94,12442,12442,0,0,250,0,0,0,0,8576,0.132,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,1958191083969790028,0,0.0,0,0
0,34,34,0,100.0,8.23,0,1091,8.23,728.683699747031,10775.81,0,0,249,0,0,0,13576,7766,0.139,2,75,80,1.0,0.29,-0.14,15.74,0.0,-0.09,1.0,2.53,3.51,-1.0,-0.91,1.14,3.47,49.89,-0.05,17,216,3,1958191083969790028,0,0.0,1,33
0,23,23,0,100.0,8.39,0,975,8.39,-322.0384683615429,9581.28,0,0,247,0,0,0,5000,7385,0.148,2,69,82,2.0,1.35,-0.12,11.92,0.0,0.0,1.0,2.53,3.5,-1.0,-0.84,1.2,3.44,49.64,-0.04,13,193,3,1958191083969790028,0,0.0,2,26
0,17,19,0,100.0,8.39,2,880,8.39,-274.7441632524585,8590.12,0,0,244,0,0,0,5000,7270,0.159,2,65,85,3.0,2.26,-0.1,10.92,0.0,0.16,1.0,2.53,3.53,-1.0,-0.77,1.26,3.45,49.37,0.03,9.49,174,3,1958191083969790028,0,0.0,3,14
0,10,14,0,100.0,8.51,4,803,8.51,-201.57325752204036,7949.57,0,0,240,0,0,0,5000,7252,0.166,2,58,82.5,4.0,3.29,-0.06,8.75,0.0,0.29,1.0,2.51,3.52,-1.0,-0.72,1.48,3.44,49.68,0.07,11,160,3,1958191083969790028,0,0.0,4,17
0,6,11,0,100.0,8.78,5,729,8.78,-154.51322041500248,7493.89,0,0,236,0,0,0,5000,7278,0.171,2,54,84.5,5.0,4.09,-0.04,7.38,0.0,0.4,1.0,2.45,3.58,-1.0,-0.65,1.22,3.51,50.29,0.09,13.64,149,3,1958191083969790028,0,0.0,5,9
0,4,8,0,100.0,9.06,4,686,9.06,-100.8910282055614,7137.9,0,0,232,0,0,0,5000,7317,0.182,1,51,87.75,6.0,5.0,-0.03,5.67,0.0,0.48,1.0,2.43,3.49,-1.0,-0.58,1.46,3.56,50.62,0.09,10,141,3,1958191083969790028,0,0.0,6,16
0,5,10,0,100.0,9.31,5,632,9.31,-90.91486037663091,6745.18,0,0,227,0,0,0,5000,7369,0.188,1,50,90.75,7.0,6.1,-0.04,7.63,0.0,0.57,1.0,2.41,3.55,-1.0,-0.49,1.34,3.66,51.49,0.1,6,131,3,1958191083969790028,0,0.0,7,9
0,4,11,0,100.0,9.87,7,569,9.87,-48.296843136292324,6355.48,0,0,222,0,0,0,5000,7405,0.19,1,46,93.26,8.0,7.09,-0.03,9.17,0.0,0.66,1.0,2.37,3.55,-1.0,-0.42,1.42,3.73,52.96,0.11,12,120,3,1958191083969790028,0,0.0,8,13
0,4,10,0,100.0,10.63,6,508,10.63,-13.16201223679679,6047.35,0,0,217,0,0,0,5000,7459,0.185,1,46,96.26,9.0,8.0,-0.04,9.09,0.0,0.72,1.0,2.31,3.57,-1.0,-0.36,1.24,3.72,54.98,0.12,10,110,3,1958191083969790028,0,0.0,9,12
