agentAgingDeaths,agentCombatDeaths,agentDeaths,agentDiseaseDeaths,agentLastMoveOptimalityPercentage,agentMeanTimeToLive,agentStarvationDeaths,agentTotalMetabolism,agentWealthBurnRate,agentWealthCollected,agentWealthTotal,agentsBorn,agentsReplaced,carryingCapacity,diseaseEffectiveReproductionRate,diseaseIncidence,diseasePrevalence,environmentWealthCreated,environmentWealthTotal,giniCoefficient,largestTribe,largestTribeSize,maxWealth,meanAge,meanAgeAtDeath,meanConflictHappiness,meanDeathsPercentage,meanFamilyHappiness,meanHappiness,meanHealthHappiness,meanMetabolism,meanMovement,meanSelfishness,meanSocialHappiness,meanTradePrice,meanVision,meanWealth,meanWealthHappiness,minWealth,population,remainingTribes,seed,sickAgents,sickAgentsPercentage,timestep,tradeVolume
0,0,0,0,100.0,7.94,0,1246,7.94,12442,12442,0,0,250,0,0,0,0,8576,0.132,0,84,78,0.0,0,0.0,0.0,0.0,0.0,0.0,2.49,3.48,-1.0,0.0,0,3.48,49.77,0.0,21,250,3,6367556869552433446,0,0.0,0,0
0,34,34,0,100.0,8.46,0,1066,8.46,867.2480931191565,10815.48,0,0,249,0,0,0,13576,7758,0.135,1,74,77,1.0,0.21,-0.16,15.74,0.0,-0.14,1.0,2.47,3.47,-1.0,-0.93,1.28,3.54,50.07,-0.06,17,216,3,6367556869552433446,0,0.0,1,29
0,19,19,0,100.0,8.65,0,978,8.65,-264.4778964055747,9795.76,0,0,247,0,0,0,5000,7342,0.143,1,67,77,2.0,1.32,-0.09,9.64,0.0,-0.01,1.0,2.48,3.42,-1.0,-0.86,1.29,3.5,49.72,-0.07,13,197,3,6367556869552433446,0,0.0,2,26
0,11,11,0,100.0,8.67,0,923,8.67,-247.28282938831484,9147.17,0,0,244,0,0,0,5000,7182,0.155,1,64,78,3.0,2.36,-0.06,5.91,0.0,0.08,1.0,2.48,3.37,-1.0,-0.79,1.32,3.49,49.18,-0.06,9,186,3,6367556869552433446,0,0.0,3,14
0,12,13,0,100.0,8.99,1,855,8.99,-221.49668372695646,8446.84,0,0,241,0,0,0,5000,7183,0.172,1,60,79,4.0,3.15,-0.07,7.51,0.0,0.16,1.0,2.47,3.35,-1.0,-0.74,1.48,3.51,48.83,-0.03,5,173,3,6367556869552433446,0,0.0,4,12
0,11,18,0,100.0,9.82,7,750,9.82,-196.52593385192677,7717.55,0,0,237,0,0,0,5000,7255,0.175,1,56,82,5.0,4.17,-0.07,11.61,0.0,0.28,1.0,2.42,3.3,-1.0,-0.66,1.25,3.58,49.79,0.01,15.48,155,3,6367556869552433446,0,0.0,5,17
0,8,11,0,100.0,10.23,3,680,10.23,-127.80761278135944,7211.34,0,0,233,0,0,0,5000,7325,0.193,1,51,85,6.0,5.09,-0.05,7.64,0.0,0.34,1.0,2.36,3.33,-1.0,-0.6,1.1,3.6,50.08,-0.01,12.48,144,3,6367556869552433446,0,0.0,6,20
0,5,9,0,100.0,10.68,4,630,10.68,-90.04494385965845,6846.69,0,0,229,0,0,0,5000,7389,0.208,0,48,88,7.0,6.0,-0.04,6.67,0.0,0.42,1.0,2.33,3.33,-1.0,-0.55,1.21,3.66,50.72,0.01,10.39,135,3,6367556869552433446,0,0.0,7,11
0,3,6,0,100.0,11.01,3,589,11.01,-64.08800284295391,6598.6,0,0,224,0,0,0,5000,7440,0.223,1,48,91,8.0,7.17,-0.02,4.65,0.0,0.5,1.0,2.28,3.29,-1.0,-0.48,1.02,3.63,51.15,0.01,5.39,129,3,6367556869552433446,0,0.0,8,7
0,3,11,0,100.0,11.68,8,527,11.68,-38.19477177462389,6232.26,0,0,219,0,0,0,5000,7489,0.229,1,45,94,9.0,8.0,-0.03,9.32,0.0,0.57,1.0,2.23,3.34,-1.0,-0.42,1.31,3.69,52.82,0.02,10.51,118,3,6367556869552433446,0,0.0,9,9
